vx	vy	vz	score	numLines
-0.94602434	-0.32409471	-0.00074653	1763.34	24
-0.15129067	0.98848914	-0.00060147	542.63	31

nLines	x1	y1	x2	y2	length
24
	233.01	59.21	244.01	62.93	11.62
	287.14	65.95	298.82	69.48	12.20
	378.01	88.36	386.00	90.90	8.38
	166.24	127.10	171.59	128.79	5.61
	391.01	186.90	382.11	184.28	9.28
	259.01	159.68	288.09	167.61	30.14
	266.95	186.55	275.98	189.10	9.38
	269.00	197.99	281.80	200.90	13.13
	118.10	258.72	206.99	275.07	90.38
	285.04	228.34	308.94	233.17	24.38
	291.02	277.95	303.11	280.74	12.41
	213.06	276.61	306.02	292.89	94.37
	311.05	293.72	352.15	300.50	41.66
	358.99	302.06	393.97	308.32	35.53
	3.99	324.65	493.98	362.28	491.44
	3.99	339.10	362.93	367.78	360.09
	3.99	346.07	494.00	382.87	491.38
	444.74	361.43	458.97	363.04	14.32
	437.93	363.61	454.05	365.80	16.27
	427.90	366.67	458.00	371.03	30.41
	228.05	437.17	243.91	436.87	15.86
	193.93	475.82	180.95	475.73	12.98
	193.11	461.80	198.88	461.84	5.77
	74.77	486.22	94.91	484.28	20.23
31
	136.00	15.00	126.73	143.00	128.33
	136.63	83.26	135.49	105.99	22.76
	310.54	139.94	310.87	154.06	14.12
	126.61	148.01	125.30	168.03	20.06
	421.68	149.86	423.09	165.02	15.22
	256.04	157.01	255.21	205.98	48.97
	265.78	184.95	265.72	178.04	6.90
	170.76	176.94	166.92	211.00	34.28
	162.55	180.13	159.93	206.98	26.99
	293.91	194.02	293.67	181.79	12.23
	165.67	188.06	165.55	196.07	8.01
	282.63	201.12	283.59	227.98	26.88
	127.40	200.08	127.03	207.02	6.94
	270.99	200.00	271.51	206.91	6.93
	293.28	221.93	292.59	210.27	11.69
	208.50	210.02	208.47	271.98	61.96
	273.44	210.01	273.64	271.97	61.96
	202.27	218.73	202.56	226.23	7.50
	198.44	221.56	198.24	229.16	7.61
	120.19	227.06	117.98	258.01	31.03
	346.49	233.18	346.60	256.59	23.41
	350.96	236.00	352.23	252.07	16.12
	281.09	236.01	282.03	246.99	11.03
	202.53	242.87	202.53	248.77	5.90
	144.86	245.97	144.92	254.01	8.04
	170.14	251.99	169.75	260.93	8.95
	202.70	251.94	202.15	265.97	14.04
	340.83	281.00	340.87	291.01	10.01
	460.15	363.10	461.01	370.00	6.95
	132.52	456.47	130.64	474.07	17.71
	185.21	488.09	184.91	494.08	6.00
