vx	vy	vz	score	numLines
0.99996685	-0.00814045	-0.00019471	1315.26	25

nLines	x1	y1	x2	y2	length
25
	194.94	7.78	160.00	9.86	35.00
	131.13	7.71	65.48	9.59	65.67
	4.01	7.94	61.04	7.54	57.04
	164.04	22.65	3.99	22.07	160.05
	170.07	21.67	198.01	22.05	27.94
	37.92	34.90	4.01	35.86	33.92
	99.00	36.24	197.98	36.44	98.99
	28.01	48.94	4.00	50.03	24.03
	103.06	49.26	137.20	49.14	34.14
	110.02	44.75	117.03	44.95	7.01
	137.95	50.43	193.99	50.25	56.04
	174.36	59.24	184.22	58.84	9.87
	4.07	63.37	23.00	63.23	18.93
	104.98	63.69	196.07	64.23	91.09
	3.99	76.55	22.00	76.12	18.01
	104.99	77.11	197.98	78.40	93.00
	3.99	89.86	26.02	89.73	22.03
	97.70	91.52	165.08	91.36	67.38
	167.94	91.49	195.98	92.10	28.05
	4.00	102.98	31.00	102.81	27.00
	101.00	104.00	198.02	105.20	97.03
	4.00	116.20	96.00	117.49	92.01
	99.02	116.57	198.01	118.90	99.02
	71.99	124.92	82.89	125.72	10.93
	3.98	129.78	90.92	130.55	86.94
