vx	vy	vz	score	numLines
0.99999991	0.00041451	-0.00009481	1097.47	22

nLines	x1	y1	x2	y2	length
22
	68.00	8.29	163.00	8.96	95.01
	164.00	9.05	193.99	7.90	30.01
	3.94	8.21	61.04	7.54	57.10
	164.04	22.65	4.02	22.16	160.03
	170.07	21.67	198.01	22.05	27.94
	34.99	29.89	46.06	30.22	11.07
	99.00	36.24	197.98	36.44	98.99
	104.13	49.57	193.99	50.25	89.86
	24.02	41.15	29.39	41.28	5.37
	110.02	44.75	117.03	44.95	7.01
	174.36	59.24	184.22	58.84	9.87
	4.07	63.37	23.00	63.15	18.93
	105.01	63.65	196.07	64.23	91.06
	4.00	76.48	22.99	76.07	18.99
	3.99	89.86	27.02	89.82	23.03
	167.94	91.49	195.98	92.10	28.05
	4.00	102.98	31.00	102.81	27.00
	101.00	104.00	198.02	105.19	97.03
	4.00	116.20	96.00	117.49	92.01
	165.98	118.34	198.01	118.90	32.04
	71.99	124.92	82.89	125.72	10.93
	3.98	129.78	90.92	130.55	86.94
