vx	vy	vz	score	numLines
0.24841655	0.96865246	0.00128053	347.39	30
-0.66160374	0.74984762	0.00300597	249.60	29

nLines	x1	y1	x2	y2	length
30
	37.76	4.06	38.82	9.03	5.08
	173.98	4.00	175.32	59.98	56.00
	187.66	4.00	187.54	25.01	21.01
	193.00	4.00	194.31	38.07	34.09
	199.91	3.99	200.48	29.99	26.01
	3.75	40.11	5.89	49.04	9.19
	48.33	45.04	51.42	63.06	18.28
	35.02	49.00	39.84	68.05	19.65
	21.71	56.03	28.43	79.48	24.39
	9.86	63.04	15.19	83.94	21.57
	97.20	64.17	98.91	86.00	21.90
	177.30	96.99	177.22	88.11	8.88
	250.72	88.11	249.99	94.00	5.94
	200.52	102.06	200.43	108.96	6.91
	245.47	104.97	245.05	116.13	11.17
	206.66	119.96	206.34	132.90	12.94
	224.30	119.01	224.19	126.11	7.10
	198.35	127.01	198.58	137.98	10.97
	241.10	127.97	240.98	140.01	12.04
	213.35	128.98	213.00	141.00	12.03
	194.04	130.97	193.65	145.09	14.13
	38.41	137.01	40.32	145.08	8.29
	6.36	160.06	17.88	196.08	37.82
	150.13	190.93	149.07	181.02	9.96
	177.99	180.02	178.16	187.05	7.04
	130.54	184.91	131.32	191.04	6.18
	169.90	199.96	170.02	208.99	9.04
	138.48	224.40	137.05	212.00	12.48
	165.92	212.04	166.19	220.03	8.00
	104.03	237.99	105.33	243.74	5.90
29
	67.07	9.05	61.96	13.94	7.07
	44.90	35.00	35.76	42.72	11.96
	47.52	32.56	54.81	26.77	9.31
	32.35	35.84	42.06	28.05	12.45
	40.99	32.96	35.20	37.83	7.57
	11.22	51.45	17.34	46.53	7.85
	32.15	60.04	27.99	63.06	5.13
	51.13	64.14	43.51	69.58	9.36
	8.07	69.59	4.05	72.78	5.13
	3.97	108.93	56.11	76.11	61.61
	37.67	83.67	46.91	77.91	10.89
	26.08	83.08	20.15	86.70	6.95
	23.96	93.93	16.98	97.97	8.06
	47.50	131.44	55.02	127.72	8.39
	54.97	199.57	67.96	197.90	13.10
	199.15	176.18	207.99	174.70	8.96
	178.87	190.30	189.92	189.23	11.10
	209.01	192.03	203.00	193.01	6.09
	160.10	201.20	167.07	200.27	7.04
	211.98	199.96	204.00	201.10	8.06
	144.06	203.09	155.98	202.06	11.97
	116.97	206.47	109.01	208.02	8.11
	231.97	221.25	240.98	220.71	9.02
	167.02	226.94	192.89	225.62	25.91
	237.00	238.95	250.10	238.32	13.12
	23.11	241.28	13.96	241.76	9.16
	119.96	243.71	135.03	242.64	15.11
	93.00	246.03	102.01	245.97	9.01
	236.13	250.52	245.01	249.98	8.89
